Img Target XMax XMin YMax YMin
7.0 716.0 755.0 534.0 501.0 362.0
7.0 717.0 947.0 726.0 152.0 13.0
7.0 718.0 594.0 373.0 306.0 167.0
7.0 726.0 672.0 451.0 485.0 346.0
7.0 730.0 333.0 112.0 312.0 173.0
7.0 731.0 239.0 18.0 409.0 270.0
7.0 733.0 397.0 176.0 526.0 387.0
7.0 737.0 462.0 241.0 559.0 420.0
7.0 738.0 12624.0 12403.0 3425.0 3286.0
7.0 741.0 817.0 596.0 703.0 564.0
7.0 744.0 550.0 329.0 150.0 11.0
7.0 745.0 737.0 516.0 377.0 238.0
7.0 747.0 852.0 631.0 380.0 241.0
7.0 749.0 266.0 45.0 383.0 244.0
7.0 750.0 351.0 130.0 174.0 35.0
7.0 752.0 232.0 11.0 372.0 233.0
7.0 763.0 256.0 35.0 337.0 198.0
7.0 767.0 619.0 398.0 293.0 154.0
7.0 768.0 1288.0 1067.0 928.0 789.0
7.0 769.0 812.0 591.0 283.0 144.0
7.0 770.0 476.0 255.0 349.0 210.0
7.0 773.0 883.0 662.0 513.0 374.0
7.0 774.0 671.0 450.0 198.0 59.0
7.0 782.0 592.0 371.0 545.0 406.0
7.0 783.0 623.0 402.0 582.0 443.0
7.0 785.0 349.0 128.0 541.0 402.0
7.0 786.0 250.0 29.0 402.0 263.0
7.0 792.0 275.0 54.0 345.0 206.0
7.0 793.0 806.0 585.0 359.0 220.0
7.0 797.0 737.0 516.0 358.0 219.0
7.0 803.0 556.0 335.0 685.0 546.0
7.0 807.0 322.0 101.0 201.0 62.0
7.0 808.0 947.0 726.0 207.0 68.0
7.0 811.0 1191.0 970.0 607.0 468.0
7.0 813.0 261.0 40.0 419.0 280.0
7.0 814.0 770.0 549.0 387.0 248.0
7.0 815.0 806.0 585.0 681.0 542.0
7.0 816.0 653.0 432.0 351.0 212.0
7.0 818.0 497.0 276.0 181.0 42.0
7.0 819.0 338.0 117.0 415.0 276.0
7.0 820.0 650.0 429.0 680.0 541.0
7.0 832.0 504.0 283.0 484.0 345.0
7.0 835.0 378.0 157.0 310.0 171.0
7.0 839.0 559.0 338.0 156.0 17.0
7.0 840.0 860.0 639.0 337.0 198.0
7.0 841.0 801.0 580.0 619.0 480.0
7.0 846.0 768.0 547.0 300.0 161.0
7.0 851.0 555.0 334.0 579.0 440.0
7.0 857.0 344.0 123.0 146.0 7.0
7.0 863.0 622.0 401.0 387.0 248.0
7.0 867.0 709.0 488.0 363.0 224.0
7.0 868.0 913.0 692.0 189.0 50.0
7.0 869.0 628.0 407.0 336.0 197.0
7.0 871.0 428.0 207.0 535.0 396.0
7.0 872.0 510.0 289.0 297.0 158.0
7.0 873.0 318.0 97.0 278.0 139.0
7.0 885.0 992.0 771.0 486.0 347.0
7.0 887.0 854.0 633.0 374.0 235.0
7.0 891.0 419.0 198.0 379.0 240.0
7.0 899.0 693.0 472.0 288.0 149.0
7.0 903.0 307.0 86.0 1135.0 996.0
7.0 908.0 654.0 433.0 703.0 564.0
7.0 909.0 1105.0 884.0 632.0 493.0
7.0 910.0 305.0 84.0 350.0 211.0
7.0 915.0 614.0 393.0 288.0 149.0
7.0 917.0 773.0 552.0 380.0 241.0
7.0 923.0 803.0 582.0 638.0 499.0
7.0 924.0 894.0 673.0 212.0 73.0
7.0 929.0 482.0 261.0 599.0 460.0
7.0 931.0 672.0 451.0 331.0 192.0
7.0 933.0 28559.0 28338.0 172387.0 172248.0
7.0 935.0 303.0 82.0 315.0 176.0
7.0 938.0 690.0 469.0 298.0 159.0
7.0 941.0 736.0 515.0 368.0 229.0
7.0 942.0 550.0 329.0 483.0 344.0
7.0 946.0 587.0 366.0 394.0 255.0
7.0 949.0 753.0 532.0 288.0 149.0
7.0 952.0 334.0 113.0 174.0 35.0
7.0 953.0 461.0 240.0 389.0 250.0
7.0 955.0 377.0 156.0 691.0 552.0
7.0 959.0 236.0 15.0 493.0 354.0
7.0 969.0 311.0 90.0 185.0 46.0
7.0 973.0 280.0 59.0 492.0 353.0
7.0 975.0 249.0 28.0 228.0 89.0
7.0 979.0 268.0 47.0 547.0 408.0
7.0 985.0 936.0 715.0 651.0 512.0
7.0 988.0 456.0 235.0 163.0 24.0
7.0 990.0 230.0 9.0 701.0 562.0
7.0 991.0 331.0 110.0 296.0 157.0
7.0 993.0 759.0 538.0 248.0 109.0
7.0 998.0 650.0 429.0 605.0 466.0
7.0 1001.0 417.0 196.0 449.0 310.0
7.0 1002.0 426.0 205.0 432.0 293.0
7.0 1003.0 862.0 641.0 620.0 481.0
7.0 1004.0 548.0 327.0 345.0 206.0
7.0 1013.0 746.0 525.0 492.0 353.0
7.0 1021.0 1024.0 803.0 338.0 199.0
7.0 1031.0 553.0 332.0 653.0 514.0
7.0 1034.0 565.0 344.0 698.0 559.0
7.0 1037.0 424.0 203.0 531.0 392.0
7.0 1041.0 560.0 339.0 346.0 207.0
7.0 1046.0 267.0 46.0 681.0 542.0
7.0 1050.0 281.0 60.0 559.0 420.0
7.0 1058.0 2019.0 1798.0 980.0 841.0
7.0 1059.0 887.0 666.0 653.0 514.0
7.0 1060.0 895.0 674.0 191.0 52.0
7.0 1066.0 887.0 666.0 237.0 98.0
7.0 1068.0 541.0 320.0 652.0 513.0
7.0 1070.0 650.0 429.0 186.0 47.0
7.0 1081.0 1012.0 791.0 374.0 235.0
7.0 1082.0 1078.0 857.0 314.0 175.0
7.0 1083.0 528.0 307.0 207.0 68.0
7.0 1085.0 388.0 167.0 150.0 11.0
7.0 1089.0 888.0 667.0 321.0 182.0
7.0 1092.0 953.0 732.0 337.0 198.0
7.0 1097.0 378.0 157.0 279.0 140.0
7.0 1100.0 310.0 89.0 207.0 68.0
7.0 1101.0 676.0 455.0 590.0 451.0
7.0 1106.0 387.0 166.0 646.0 507.0
7.0 1109.0 888.0 667.0 198.0 59.0
7.0 1111.0 834.0 613.0 418.0 279.0
7.0 1112.0 834.0 613.0 182.0 43.0
7.0 1132.0 857.0 636.0 676.0 537.0
7.0 1134.0 717.0 496.0 358.0 219.0
7.0 1135.0 775.0 554.0 449.0 310.0
7.0 1137.0 642.0 421.0 542.0 403.0
7.0 1139.0 361.0 140.0 255.0 116.0
7.0 1152.0 407.0 186.0 539.0 400.0
7.0 1157.0 358.0 137.0 677.0 538.0
7.0 1167.0 727.0 506.0 566.0 427.0
7.0 1168.0 850.0 629.0 243.0 104.0
7.0 1171.0 408.0 187.0 389.0 250.0
7.0 1175.0 892.0 671.0 551.0 412.0
7.0 1176.0 871.0 650.0 683.0 544.0
7.0 1177.0 436.0 215.0 488.0 349.0
7.0 1180.0 879.0 658.0 344.0 205.0
7.0 1190.0 236.0 15.0 347.0 208.0
7.0 1196.0 245.0 24.0 362.0 223.0
7.0 1197.0 995.0 774.0 236.0 97.0
7.0 1198.0 758.0 537.0 590.0 451.0
7.0 1205.0 346.0 125.0 1040.0 901.0
7.0 1209.0 483.0 262.0 552.0 413.0
7.0 1212.0 273.0 52.0 709.0 570.0
7.0 1218.0 649.0 428.0 165.0 26.0
7.0 1219.0 329.0 108.0 417.0 278.0
7.0 1220.0 337.0 116.0 589.0 450.0
7.0 1221.0 2199.0 1978.0 5035.0 4896.0
7.0 1223.0 469.0 248.0 484.0 345.0
7.0 1229.0 251.0 30.0 613.0 474.0
7.0 1232.0 963.0 742.0 176.0 37.0
7.0 1233.0 526.0 305.0 205.0 66.0
7.0 1234.0 561.0 340.0 552.0 413.0
7.0 1235.0 603.0 382.0 144.0 5.0
7.0 1237.0 754.0 533.0 530.0 391.0
7.0 1238.0 827.0 606.0 502.0 363.0
7.0 1240.0 771.0 550.0 316.0 177.0
7.0 1241.0 279.0 58.0 269.0 130.0
7.0 1245.0 995.0 774.0 391.0 252.0
7.0 1248.0 821.0 600.0 366.0 227.0
7.0 1249.0 547.0 326.0 160.0 21.0
7.0 1250.0 686.0 465.0 466.0 327.0
7.0 1252.0 776.0 555.0 448.0 309.0
7.0 1253.0 392.0 171.0 241.0 102.0
7.0 1263.0 431.0 210.0 622.0 483.0
7.0 1275.0 246.0 25.0 401.0 262.0
7.0 1284.0 598.0 377.0 319.0 180.0
7.0 1299.0 833.0 612.0 153.0 14.0
7.0 1300.0 851.0 630.0 449.0 310.0
7.0 1301.0 923.0 702.0 562.0 423.0
7.0 1308.0 550.0 329.0 254.0 115.0
7.0 1321.0 877.0 656.0 471.0 332.0
7.0 1322.0 243.0 22.0 413.0 274.0
7.0 1323.0 993.0 772.0 635.0 496.0
7.0 1326.0 281.0 60.0 345.0 206.0
7.0 1330.0 221.0 0.0 620.0 481.0
7.0 1332.0 863.0 642.0 388.0 249.0
7.0 1333.0 581.0 360.0 584.0 445.0
7.0 1334.0 553.0 332.0 550.0 411.0
7.0 1343.0 232.0 11.0 630.0 491.0
7.0 1347.0 569.0 348.0 640.0 501.0
7.0 1359.0 544.0 323.0 205.0 66.0
7.0 1363.0 491.0 270.0 392.0 253.0
7.0 1364.0 865.0 644.0 172.0 33.0
7.0 1366.0 961.0 740.0 517.0 378.0
7.0 1367.0 406.0 185.0 381.0 242.0
7.0 1379.0 486.0 265.0 209.0 70.0
7.0 1384.0 887.0 666.0 445.0 306.0
7.0 1390.0 840.0 619.0 212.0 73.0
7.0 1391.0 936.0 715.0 238.0 99.0
7.0 1394.0 242.0 21.0 394.0 255.0
7.0 1398.0 225.0 4.0 196.0 57.0
7.0 1399.0 239.0 18.0 394.0 255.0
7.0 1405.0 537.0 316.0 486.0 347.0
7.0 1406.0 536.0 315.0 555.0 416.0
7.0 1409.0 904.0 683.0 536.0 397.0
7.0 1410.0 842.0 621.0 654.0 515.0
7.0 1412.0 275.0 54.0 559.0 420.0
7.0 1413.0 264.0 43.0 234.0 95.0
7.0 1414.0 312.0 91.0 172.0 33.0
7.0 1415.0 568.0 347.0 247.0 108.0
7.0 1417.0 710.0 489.0 595.0 456.0
7.0 1418.0 526.0 305.0 184.0 45.0
7.0 1419.0 343.0 122.0 396.0 257.0
7.0 1423.0 915.0 694.0 379.0 240.0
7.0 1426.0 234.0 13.0 430.0 291.0
7.0 1428.0 337.0 116.0 643.0 504.0
7.0 1430.0 873.0 652.0 269.0 130.0
7.0 1432.0 603.0 382.0 535.0 396.0
7.0 1438.0 290.0 69.0 412.0 273.0
7.0 1440.0 458.0 237.0 319.0 180.0
7.0 1442.0 645.0 424.0 717.0 578.0
7.0 1451.0 326.0 105.0 516.0 377.0
7.0 1455.0 498.0 277.0 380.0 241.0
7.0 1458.0 806.0 585.0 525.0 386.0
7.0 1459.0 434.0 213.0 508.0 369.0
7.0 1466.0 251.0 30.0 262.0 123.0
7.0 1468.0 363.0 142.0 329.0 190.0
7.0 1474.0 382.0 161.0 665.0 526.0
7.0 1476.0 388.0 167.0 180.0 41.0
7.0 1477.0 284.0 63.0 263.0 124.0
7.0 1478.0 903.0 682.0 170.0 31.0
7.0 1480.0 814.0 593.0 160.0 21.0
7.0 1482.0 583.0 362.0 148.0 9.0
7.0 1484.0 305.0 84.0 513.0 374.0
7.0 1488.0 955.0 734.0 755.0 616.0
7.0 1491.0 394.0 173.0 342.0 203.0
7.0 1492.0 733.0 512.0 266.0 127.0
7.0 1494.0 398.0 177.0 227.0 88.0
7.0 1496.0 1352.0 1131.0 315.0 176.0
7.0 1504.0 659.0 438.0 521.0 382.0
7.0 1505.0 871.0 650.0 618.0 479.0
7.0 1510.0 998.0 777.0 455.0 316.0
7.0 1511.0 904.0 683.0 629.0 490.0
7.0 1517.0 554.0 333.0 266.0 127.0
7.0 1518.0 395.0 174.0 342.0 203.0
7.0 1520.0 508.0 287.0 148.0 9.0
7.0 1521.0 866.0 645.0 629.0 490.0
7.0 1522.0 516.0 295.0 180.0 41.0
7.0 1525.0 753.0 532.0 702.0 563.0
7.0 1530.0 962.0 741.0 495.0 356.0
7.0 1531.0 268.0 47.0 215.0 76.0
7.0 1534.0 1004.0 783.0 206.0 67.0
7.0 1535.0 443.0 222.0 462.0 323.0
7.0 1538.0 555.0 334.0 302.0 163.0
7.0 1539.0 8029.0 7808.0 2933.0 2794.0
7.0 1546.0 230.0 9.0 304.0 165.0
7.0 1548.0 611.0 390.0 590.0 451.0
7.0 1551.0 501.0 280.0 344.0 205.0
7.0 1552.0 675.0 454.0 640.0 501.0
7.0 1555.0 590.0 369.0 319.0 180.0
7.0 1556.0 1062.0 841.0 591.0 452.0
7.0 1560.0 715.0 494.0 403.0 264.0
7.0 1561.0 758.0 537.0 737.0 598.0
7.0 1569.0 575.0 354.0 649.0 510.0
7.0 1573.0 395.0 174.0 372.0 233.0
7.0 1581.0 692.0 471.0 152.0 13.0
7.0 1583.0 764.0 543.0 345.0 206.0
7.0 1586.0 675.0 454.0 384.0 245.0
7.0 1587.0 1069.0 848.0 494.0 355.0
7.0 1590.0 505.0 284.0 609.0 470.0
7.0 1595.0 844.0 623.0 588.0 449.0
7.0 1598.0 756.0 535.0 701.0 562.0
7.0 1613.0 570.0 349.0 485.0 346.0
7.0 1615.0 1021.0 800.0 619.0 480.0
7.0 1616.0 830.0 609.0 549.0 410.0
7.0 1617.0 254.0 33.0 205.0 66.0
7.0 1618.0 980.0 759.0 631.0 492.0
7.0 1619.0 477.0 256.0 581.0 442.0
7.0 1621.0 265.0 44.0 492.0 353.0
7.0 1624.0 492.0 271.0 217.0 78.0
7.0 1628.0 773.0 552.0 447.0 308.0
7.0 1631.0 1195.0 974.0 905.0 766.0
7.0 1632.0 1050.0 829.0 244.0 105.0
7.0 1635.0 245.0 24.0 299.0 160.0
7.0 1639.0 941.0 720.0 300.0 161.0
7.0 1640.0 527.0 306.0 245.0 106.0
7.0 1642.0 966.0 745.0 538.0 399.0
7.0 1644.0 2209.0 1988.0 201.0 62.0
7.0 1646.0 415.0 194.0 191.0 52.0
7.0 1648.0 530.0 309.0 407.0 268.0
7.0 1653.0 645.0 424.0 592.0 453.0
7.0 1658.0 905.0 684.0 739.0 600.0
7.0 1662.0 873.0 652.0 369.0 230.0
7.0 1669.0 602.0 381.0 158.0 19.0
7.0 1671.0 462.0 241.0 489.0 350.0
7.0 1676.0 936.0 715.0 490.0 351.0
7.0 1682.0 826.0 605.0 407.0 268.0
7.0 1684.0 464.0 243.0 518.0 379.0
7.0 1685.0 689.0 468.0 616.0 477.0
7.0 1686.0 715.0 494.0 495.0 356.0
7.0 1689.0 1068.0 847.0 152.0 13.0
7.0 1706.0 406.0 185.0 511.0 372.0
7.0 1710.0 960.0 739.0 655.0 516.0
7.0 1712.0 1154.0 933.0 473.0 334.0
7.0 1717.0 743.0 522.0 355.0 216.0
7.0 1720.0 412.0 191.0 682.0 543.0
7.0 1721.0 246.0 25.0 631.0 492.0
7.0 1722.0 391.0 170.0 423.0 284.0
7.0 1726.0 84420.0 84199.0 64939.0 64800.0
7.0 1727.0 1070.0 849.0 1599.0 1460.0
7.0 1728.0 1026.0 805.0 704.0 565.0
7.0 1729.0 306.0 85.0 529.0 390.0
7.0 1737.0 781.0 560.0 475.0 336.0
7.0 1739.0 806.0 585.0 709.0 570.0
7.0 1741.0 401.0 180.0 384.0 245.0
7.0 1743.0 585.0 364.0 454.0 315.0
7.0 1746.0 906.0 685.0 678.0 539.0
7.0 1750.0 880.0 659.0 655.0 516.0
7.0 1755.0 999.0 778.0 564.0 425.0
7.0 1760.0 720.0 499.0 714.0 575.0
7.0 1761.0 836.0 615.0 461.0 322.0
7.0 1762.0 1016.0 795.0 386.0 247.0
7.0 1763.0 392.0 171.0 362.0 223.0
7.0 1764.0 760.0 539.0 360.0 221.0
7.0 1766.0 641.0 420.0 434.0 295.0
7.0 1768.0 478.0 257.0 283.0 144.0
7.0 1770.0 366.0 145.0 737.0 598.0
7.0 1774.0 546.0 325.0 190.0 51.0
7.0 1776.0 775.0 554.0 703.0 564.0
7.0 1781.0 1053.0 832.0 595.0 456.0
7.0 1783.0 880.0 659.0 393.0 254.0
7.0 1785.0 327.0 106.0 191.0 52.0
7.0 1787.0 552.0 331.0 429.0 290.0
7.0 1795.0 905.0 684.0 607.0 468.0
7.0 1796.0 633.0 412.0 341.0 202.0
7.0 1800.0 251.0 30.0 589.0 450.0
7.0 1801.0 841.0 620.0 340.0 201.0
7.0 1804.0 896.0 675.0 758.0 619.0
7.0 1806.0 924.0 703.0 210.0 71.0
7.0 1808.0 1031.0 810.0 857.0 718.0
7.0 1810.0 998.0 777.0 155.0 16.0
7.0 1813.0 1040.0 819.0 603.0 464.0
7.0 1815.0 338.0 117.0 354.0 215.0
7.0 1817.0 1066.0 845.0 550.0 411.0
7.0 1820.0 970.0 749.0 512.0 373.0
7.0 1821.0 542.0 321.0 529.0 390.0
7.0 1829.0 782.0 561.0 395.0 256.0
7.0 1856.0 984.0 763.0 505.0 366.0
7.0 1861.0 550.0 329.0 220.0 81.0
7.0 1871.0 1020.0 799.0 480.0 341.0
7.0 1881.0 300.0 79.0 270.0 131.0
7.0 1882.0 658.0 437.0 423.0 284.0
7.0 1884.0 594.0 373.0 281.0 142.0
7.0 1894.0 928.0 707.0 370.0 231.0
7.0 1895.0 285.0 64.0 440.0 301.0
7.0 1898.0 1033.0 812.0 749.0 610.0
7.0 1899.0 1047.0 826.0 566.0 427.0
7.0 1902.0 1663.0 1442.0 214.0 75.0
7.0 1904.0 860.0 639.0 459.0 320.0
7.0 1905.0 331.0 110.0 620.0 481.0
7.0 1908.0 548.0 327.0 379.0 240.0
7.0 1920.0 698.0 477.0 450.0 311.0
7.0 1922.0 406.0 185.0 660.0 521.0
