Img	TargetXMin	YMin	XMax	YMax	
7	643	156	98	377	237
7	646	194	479	415	618
7	648	669	433	890	572
7	651	478	405	699	544
7	653	335	329	556	468
7	661	289	125	510	264
7	662	686	234	907	373
7	665	483	238	704	377
7	671	366	316	587	455
7	677	82	316	303	455
7	680	178	2	399	141
7	685	518	26	739	165
7	686	426	380	647	519
7	690	148	272	369	411
7	691	650	373	871	512
7	693	606	220	827	359
7	697	411	421	632	560
7	700	107	517	328	656
7	702	109	399	330	538
7	703	6	492	227	631
7	708	467	554	688	693
7	712	358	545	579	684
7	716	534	362	755	501
7	717	726	13	947	152
7	718	373	167	594	306
7	726	451	346	672	485
7	730	112	173	333	312
7	731	18	270	239	409
7	733	176	387	397	526
7	737	241	420	462	559
7	738	12403	3286	12624	3425
7	741	596	564	817	703
7	744	329	11	550	150
7	745	516	238	737	377
7	747	631	241	852	380
7	749	45	244	266	383
7	750	130	35	351	174
7	752	11	233	232	372
7	763	35	198	256	337
7	767	398	154	619	293
7	768	1067	789	1288	928
7	769	591	144	812	283
7	770	255	210	476	349
7	773	662	374	883	513
7	774	450	59	671	198
7	782	371	406	592	545
7	783	402	443	623	582
7	785	128	402	349	541
7	786	29	263	250	402
7	792	54	206	275	345
7	793	585	220	806	359
7	797	516	219	737	358
7	803	335	546	556	685
7	807	101	62	322	201
7	808	726	68	947	207
7	811	970	468	1191	607
7	813	40	280	261	419
7	814	549	248	770	387
7	815	585	542	806	681
7	816	432	212	653	351
7	818	276	42	497	181
7	819	117	276	338	415
7	820	429	541	650	680
7	832	283	345	504	484
7	835	157	171	378	310
7	839	338	17	559	156
7	840	639	198	860	337
7	841	580	480	801	619
7	846	547	161	768	300
7	851	334	440	555	579
7	857	123	7	344	146
7	863	401	248	622	387
7	867	488	224	709	363
7	868	692	50	913	189
7	869	407	197	628	336
7	871	207	396	428	535
7	872	289	158	510	297
7	873	97	139	318	278
7	885	771	347	992	486
7	887	633	235	854	374
7	891	198	240	419	379
7	899	472	149	693	288
7	903	86	996	307	1135
7	908	433	564	654	703
7	909	884	493	1105	632
7	910	84	211	305	350
7	915	393	149	614	288
7	917	552	241	773	380
7	923	582	499	803	638
7	924	673	73	894	212
7	929	261	460	482	599
7	931	451	192	672	331
7	933	28338	172248	28559	172387
7	935	82	176	303	315
7	938	469	159	690	298
7	941	515	229	736	368
7	942	329	344	550	483
7	946	366	255	587	394
7	949	532	149	753	288
7	952	113	35	334	174
7	953	240	250	461	389
7	955	156	552	377	691
7	959	15	354	236	493
7	969	90	46	311	185
7	973	59	353	280	492
7	975	28	89	249	228
7	979	47	408	268	547
7	985	715	512	936	651
7	988	235	24	456	163
7	990	9	562	230	701
7	991	110	157	331	296
7	993	538	109	759	248
7	998	429	466	650	605
7	1001	196	310	417	449
7	1002	205	293	426	432
7	1003	641	481	862	620
7	1004	327	206	548	345
7	1013	525	353	746	492
7	1021	803	199	1024	338
7	1031	332	514	553	653
7	1034	344	559	565	698
7	1037	203	392	424	531
7	1041	339	207	560	346
7	1046	46	542	267	681
7	1050	60	420	281	559
7	1058	1798	841	2019	980
7	1059	666	514	887	653
7	1060	674	52	895	191
7	1066	666	98	887	237
7	1068	320	513	541	652
7	1070	429	47	650	186
7	1081	791	235	1012	374
7	1082	857	175	1078	314
7	1083	307	68	528	207
7	1085	167	11	388	150
7	1089	667	182	888	321
7	1092	732	198	953	337
7	1097	157	140	378	279
7	1100	89	68	310	207
7	1101	455	451	676	590
7	1106	166	507	387	646
7	1109	667	59	888	198
7	1111	613	279	834	418
7	1112	613	43	834	182
7	1132	636	537	857	676
7	1134	496	219	717	358
7	1135	554	310	775	449
7	1137	421	403	642	542
7	1139	140	116	361	255
7	1152	186	400	407	539
7	1157	137	538	358	677
7	1167	506	427	727	566
7	1168	629	104	850	243
7	1171	187	250	408	389
7	1175	671	412	892	551
7	1176	650	544	871	683
7	1177	215	349	436	488
7	1180	658	205	879	344
7	1190	15	208	236	347
7	1196	24	223	245	362
7	1197	774	97	995	236
7	1198	537	451	758	590
7	1205	125	901	346	1040
7	1209	262	413	483	552
7	1212	52	570	273	709
7	1218	428	26	649	165
7	1219	108	278	329	417
7	1220	116	450	337	589
7	1221	1978	4896	2199	5035
7	1223	248	345	469	484
7	1229	30	474	251	613
7	1232	742	37	963	176
7	1233	305	66	526	205
7	1234	340	413	561	552
7	1235	382	5	603	144
7	1237	533	391	754	530
7	1238	606	363	827	502
7	1240	550	177	771	316
7	1241	58	130	279	269
7	1245	774	252	995	391
7	1248	600	227	821	366
7	1249	326	21	547	160
7	1250	465	327	686	466
7	1252	555	309	776	448
7	1253	171	102	392	241
7	1263	210	483	431	622
7	1275	25	262	246	401
7	1284	377	180	598	319
7	1299	612	14	833	153
7	1300	630	310	851	449
7	1301	702	423	923	562
7	1308	329	115	550	254
7	1321	656	332	877	471
7	1322	22	274	243	413
7	1323	772	496	993	635
7	1326	60	206	281	345
7	1330	0	481	221	620
7	1332	642	249	863	388
7	1333	360	445	581	584
7	1334	332	411	553	550
7	1343	11	491	232	630
7	1347	348	501	569	640
7	1359	323	66	544	205
7	1363	270	253	491	392
7	1364	644	33	865	172
7	1366	740	378	961	517
7	1367	185	242	406	381
7	1379	265	70	486	209
7	1384	666	306	887	445
7	1390	619	73	840	212
7	1391	715	99	936	238
7	1394	21	255	242	394
7	1398	4	57	225	196
7	1399	18	255	239	394
7	1405	316	347	537	486
7	1406	315	416	536	555
7	1409	683	397	904	536
7	1410	621	515	842	654
7	1412	54	420	275	559
7	1413	43	95	264	234
7	1414	91	33	312	172
7	1415	347	108	568	247
7	1417	489	456	710	595
7	1418	305	45	526	184
7	1419	122	257	343	396
7	1423	694	240	915	379
7	1426	13	291	234	430
7	1428	116	504	337	643
7	1430	652	130	873	269
7	1432	382	396	603	535
7	1438	69	273	290	412
7	1440	237	180	458	319
7	1442	424	578	645	717
7	1451	105	377	326	516
7	1455	277	241	498	380
7	1458	585	386	806	525
7	1459	213	369	434	508
7	1466	30	123	251	262
7	1468	142	190	363	329
7	1474	161	526	382	665
7	1476	167	41	388	180
7	1477	63	124	284	263
7	1478	682	31	903	170
7	1480	593	21	814	160
7	1482	362	9	583	148
7	1484	84	374	305	513
7	1488	734	616	955	755
7	1491	173	203	394	342
7	1492	512	127	733	266
7	1494	177	88	398	227
7	1496	1131	176	1352	315
7	1504	438	382	659	521
7	1505	650	479	871	618
7	1510	777	316	998	455
7	1511	683	490	904	629
7	1517	333	127	554	266
7	1518	174	203	395	342
7	1520	287	9	508	148
7	1521	645	490	866	629
7	1522	295	41	516	180
7	1525	532	563	753	702
7	1530	741	356	962	495
7	1531	47	76	268	215
7	1534	783	67	1004	206
7	1535	222	323	443	462
7	1538	334	163	555	302
7	1539	7808	2794	8029	2933
7	1546	9	165	230	304
7	1548	390	451	611	590
7	1551	280	205	501	344
7	1552	454	501	675	640
7	1555	369	180	590	319
7	1556	841	452	1062	591
7	1560	494	264	715	403
7	1561	537	598	758	737
7	1569	354	510	575	649
7	1573	174	233	395	372
7	1581	471	13	692	152
7	1583	543	206	764	345
7	1586	454	245	675	384
7	1587	848	355	1069	494
7	1590	284	470	505	609
7	1595	623	449	844	588
7	1598	535	562	756	701
7	1613	349	346	570	485
7	1615	800	480	1021	619
7	1616	609	410	830	549
7	1617	33	66	254	205
7	1618	759	492	980	631
7	1619	256	442	477	581
7	1621	44	353	265	492
7	1624	271	78	492	217
7	1628	552	308	773	447
7	1631	974	766	1195	905
7	1632	829	105	1050	244
7	1635	24	160	245	299
7	1639	720	161	941	300
7	1640	306	106	527	245
7	1642	745	399	966	538
7	1644	1988	62	2209	201
7	1646	194	52	415	191
7	1648	309	268	530	407
7	1653	424	453	645	592
7	1658	684	600	905	739
7	1662	652	230	873	369
7	1669	381	19	602	158
7	1671	241	350	462	489
7	1676	715	351	936	490
7	1682	605	268	826	407
7	1684	243	379	464	518
7	1685	468	477	689	616
7	1686	494	356	715	495
7	1689	847	13	1068	152
7	1706	185	372	406	511
7	1710	739	516	960	655
7	1712	933	334	1154	473
7	1717	522	216	743	355
7	1720	191	543	412	682
7	1721	25	492	246	631
7	1722	170	284	391	423
7	1726	84199	64800	84420	64939
7	1727	849	1460	1070	1599
7	1728	805	565	1026	704
7	1729	85	390	306	529
7	1737	560	336	781	475
7	1739	585	570	806	709
7	1741	180	245	401	384
7	1743	364	315	585	454
7	1746	685	539	906	678
7	1750	659	516	880	655
7	1755	778	425	999	564
7	1760	499	575	720	714
7	1761	615	322	836	461
7	1762	795	247	1016	386
7	1763	171	223	392	362
7	1764	539	221	760	360
7	1766	420	295	641	434
7	1768	257	144	478	283
7	1770	145	598	366	737
7	1774	325	51	546	190
7	1776	554	564	775	703
7	1781	832	456	1053	595
7	1783	659	254	880	393
7	1785	106	52	327	191
7	1787	331	290	552	429
7	1795	684	468	905	607
7	1796	412	202	633	341
7	1800	30	450	251	589
7	1801	620	201	841	340
7	1804	675	619	896	758
7	1806	703	71	924	210
7	1808	810	718	1031	857
7	1810	777	16	998	155
7	1813	819	464	1040	603
7	1815	117	215	338	354
7	1817	845	411	1066	550
7	1820	749	373	970	512
7	1821	321	390	542	529
7	1829	561	256	782	395
7	1856	763	366	984	505
7	1861	329	81	550	220
7	1871	799	341	1020	480
7	1881	79	131	300	270
7	1882	437	284	658	423
7	1884	373	142	594	281
7	1894	707	231	928	370
7	1895	64	301	285	440
7	1898	812	610	1033	749
7	1899	826	427	1047	566
7	1902	1442	75	1663	214
7	1904	639	320	860	459
7	1905	110	481	331	620
7	1908	327	240	548	379
7	1920	477	311	698	450
7	1922	185	521	406	660
7	1924	969	553	1190	692
7	1930	753	134	974	273
7	1934	593	583	814	722
7	1935	847	561	1068	700
7	1951	110	252	331	391
7	1953	654	645	875	784
7	1954	3581	455	3802	594
7	1963	7475	16886	7696	17025
7	1966	414	176	635	315
7	1969	64	548	285	687
7	1970	805	424	1026	563
7	1972	698	118	919	257
7	1986	531	185	752	324
7	1991	405	25	626	164
7	1992	638	74	859	213
7	1997	714	569	935	708
7	2001	100	460	321	599
7	2004	46	292	267	431
7	2005	783	551	1004	690
7	2011	391	193	612	332
7	2013	46	268	267	407
7	2021	709	678	930	817
7	2024	877	6	1098	145
7	2034	113	301	334	440
7	2036	507	224	728	363
7	2040	762	459	983	598
7	2046	127	188	348	327
7	2048	447	58	668	197
7	2055	674	360	895	499
7	2056	149	294	370	433
7	2058	411	438	632	577
7	2060	220	219	441	358
7	2061	459	63	680	202
7	2063	676	153	897	292
7	2069	4826	964	5047	1103
7	2070	129	221	350	360
7	2073	173	539	394	678
7	2075	501	299	722	438
7	2078	331	68	552	207
7	2079	348	561	569	700
7	2081	427	536	648	675
7	2085	445	144	666	283
7	2086	151	111	372	250
7	2087	775	441	996	580
7	2090	182	47	403	186
7	2092	437	490	658	629
7	2095	93	431	314	570
7	2096	640	521	861	660
7	2100	33	321	254	460
7	2101	772	82	993	221
7	2102	132	144	353	283
7	2105	410	89	631	228
7	2108	713	508	934	647
7	2110	258	245	479	384
7	2112	376	358	597	497
7	2115	755	15	976	154
7	2116	825	323	1046	462
7	2123	506	5	727	144
7	2124	569	69	790	208
7	2125	639	431	860	570
7	2133	721	273	942	412
7	2135	676	30	897	169
7	2137	563	209	784	348
7	2140	682	431	903	570
7	2144	6	321	227	460
7	2145	637	105	858	244
7	2149	812	484	1033	623
7	2150	193	255	414	394
7	2160	316	396	537	535
7	2164	139	387	360	526
7	2170	789	374	1010	513
7	2176	661	113	882	252
7	2178	846	109	1067	248
7	2180	738	61	959	200
7	2183	75	373	296	512
7	2189	292	276	513	415
7	2197	1154	541	1375	680
7	2199	602	593	823	732
7	2201	387	470	608	609
7	2208	233	501	454	640
7	2213	595	369	816	508
7	2214	3521	638	3742	777
7	2216	638	437	859	576
7	2217	100	212	321	351
7	2218	1289	1637	1510	1776
7	2221	565	405	786	544
7	2222	563	244	784	383
7	2229	623	0	844	139
7	2230	584	369	805	508
7	2231	731	233	952	372
7	2241	300	339	521	478
7	2242	459	597	680	736
7	2255	547	137	768	276
7	2259	1402	483	1623	622
7	2260	1037	987	1258	1126
7	2268	134	201	355	340
7	2269	654	583	875	722
7	2273	683	389	904	528
7	2291	486	370	707	509
7	2300	80	374	301	513
7	2304	138	565	359	704
7	2305	71	561	292	700
7	2309	66	21	287	160
7	2312	478	461	699	600
7	2321	747	295	968	434
7	2324	53	401	274	540
7	2327	630	127	851	266
7	2328	858	441	1079	580
7	2336	615	534	836	673
7	2338	588	205	809	344
7	2344	32	417	253	556
7	2350	713	261	934	400
7	2359	224	205	445	344
7	2361	677	59	898	198
7	2364	515	437	736	576
7	2366	670	84	891	223
7	2368	121	96	342	235
7	2369	666	587	887	726
7	2370	148	249	369	388
7	2376	579	441	800	580
7	2381	474	8	695	147
7	2383	6199	23291	6420	23430
7	2386	47	465	268	604
7	2387	399	198	620	337
7	2389	32	734	253	873
7	2391	148	66	369	205
7	2392	494	453	715	592
7	2398	53	352	274	491
7	2402	800	629	1021	768
7	2404	106	104	327	243
7	2406	695	490	916	629
7	2412	532	307	753	446
7	2420	548	536	769	675
7	2421	117	521	338	660
7	2422	40	224	261	363
7	2426	694	302	915	441
7	2428	1682	2361	1903	2500
7	2431	123	478	344	617
7	2432	152	637	373	776
7	2433	23	250	244	389
7	2434	636	123	857	262
7	2435	195	60	416	199
7	2436	533	436	754	575
7	2438	263	527	484	666
7	2443	261	79	482	218
7	2444	655	546	876	685
7	2450	227	620	448	759
7	2452	434	398	655	537
7	2455	335	390	556	529
7	2458	526	37	747	176
7	2465	453	358	674	497
7	2470	485	596	706	735
7	2473	651	19	872	158
7	2474	453	521	674	660
7	2478	709	424	930	563
7	2480	739	353	960	492
7	2481	759	623	980	762
7	2483	88	290	309	429
7	2485	360	215	581	354
7	2487	548	398	769	537
7	2491	717	219	938	358
7	2496	250	413	471	552
7	2498	827	462	1048	601
7	2499	730	599	951	738
7	2502	756	563	977	702
7	2504	588	7	809	146
7	2506	574	454	795	593
7	2507	63	127	284	266
7	2510	333	311	554	450
7	2521	39	331	260	470
7	2523	852	716	1073	855
7	2526	389	40	610	179
7	2528	852	471	1073	610
7	2530	117	377	338	516
7	2532	442	389	663	528
7	2536	66	622	287	761
7	2539	554	76	775	215
7	2541	654	571	875	710
7	2543	815	406	1036	545
7	2547	799	209	1020	348
7	2548	819	26	1040	165
7	2555	541	45	762	184
7	2566	733	58	954	197
7	2568	320	608	541	747
7	2569	356	382	577	521
7	2570	269	316	490	455
7	2574	661	85	882	224
7	2579	710	483	931	622
7	2586	285	46	506	185
7	2588	386	516	607	655
7	2594	520	100	741	239
7	2596	532	39	753	178
7	2602	217	344	438	483
7	2605	648	36	869	175
7	2609	58	469	279	608
7	2610	127	317	348	456
7	2615	786	186	1007	325
7	2619	564	68	785	207
7	2621	943	866	1164	1005
7	2625	836	324	1057	463
7	2627	21	595	242	734
7	2633	588	274	809	413
7	2634	538	591	759	730
7	2638	819	246	1040	385
7	2647	584	473	805	612
7	2648	802	240	1023	379
7	2649	440	297	661	436
7	2650	130	285	351	424
7	2651	113	627	334	766
7	2657	775	174	996	313
7	2673	1475	486	1696	625
7	2677	990	76	1211	215
7	2684	99	136	320	275
7	2693	524	252	745	391
7	2694	811	202	1032	341
7	2695	80	474	301	613
7	2707	464	151	685	290
7	2709	122	55	343	194
7	2712	832	230	1053	369
7	2714	329	518	550	657
7	2717	641	374	862	513
7	2718	302	9	523	148
7	2721	303	639	524	778
7	2722	308	151	529	290
7	2724	390	311	611	450
7	2725	0	339	221	478
7	2726	263	32	484	171
7	2729	690	447	911	586
7	2730	285	261	506	400
7	2731	780	278	1001	417
7	2732	139	338	360	477
7	2743	281	288	502	427
7	2750	436	165	657	304
7	2755	469	215	690	354
7	2756	160	160	381	299
7	2760	578	283	799	422
7	2763	391	476	612	615
7	2765	709	149	930	288
7	2766	606	352	827	491
7	2768	457	520	678	659
7	2779	271	488	492	627
7	2781	341	597	562	736
7	2788	781	409	1002	548
7	2791	146	269	367	408
7	2792	452	208	673	347
7	2794	794	456	1015	595
7	2797	622	475	843	614
7	2801	534	473	755	612
7	2808	91	380	312	519
7	2815	709	338	930	477
7	2819	569	115	790	254
7	2824	531	424	752	563
7	2825	80	200	301	339
7	2832	831	174	1052	313
7	2837	681	503	902	642
7	2840	807	231	1028	370
7	2848	812	762	1033	901
7	2858	799	10	1020	149
7	2860	167	569	388	708
7	2884	226	526	447	665
7	2886	743	510	964	649
7	2907	555	314	776	453
7	2912	676	201	897	340
7	2915	778	482	999	621
7	2916	458	150	679	289
7	2931	62	216	283	355
7	2939	560	63	781	202
7	2946	324	274	545	413
7	2953	410	401	631	540
7	2960	51	337	272	476
7	2962	448	151	669	290
7	2964	396	290	617	429
7	2966	558	525	779	664
7	2968	310	35	531	174
7	2970	617	473	838	612
7	2971	287	7	508	146
7	2980	663	488	884	627
7	2985	266	349	487	488
7	2990	349	390	570	529
7	2992	32	207	253	346
7	2994	210	372	431	511
7	2997	285	268	506	407
7	2999	451	76	672	215
7	3003	408	258	629	397
7	3007	434	280	655	419
7	3008	252	525	473	664
7	3012	333	253	554	392
7	3020	27552	2589	27773	2728
7	3021	634	164	855	303
7	3028	582	400	803	539
7	3029	509	319	730	458
7	3039	198	348	419	487
7	3044	391	37	612	176
7	3045	628	50	849	189
7	3056	678	263	899	402
7	3058	125	449	346	588
7	3060	651	111	872	250
7	3065	751	416	972	555
7	3067	423	342	644	481
7	3072	40	390	261	529
7	3075	486	69	707	208
7	3076	470	85	691	224
7	3078	461	370	682	509
7	3080	336	495	557	634
7	3081	21	176	242	315
7	3082	323	120	544	259
7	3085	75	393	296	532
7	3086	641	102	862	241
7	3087	151	102	372	241
7	3091	298	227	519	366
7	3098	257	324	478	463
7	3099	64	232	285	371
7	3100	46	468	267	607
7	3101	326	464	547	603
7	3102	463	433	684	572
7	3110	441	618	662	757
7	3116	278	501	499	640
7	3119	145	188	366	327
7	3123	271	378	492	517
7	3124	219	313	440	452
7	3130	416	235	637	374
7	3136	755	269	976	408
7	3142	369	196	590	335
7	3146	642	74	863	213
7	3148	364	560	585	699
7	3149	120	161	341	300
7	3151	726	340	947	479
8	49	7	500	237	650
8	56	68	378	298	528
8	85	235	146	465	296
8	116	123	231	353	381
8	117	1474	459	1704	609
8	118	190	586	420	736
8	121	616	46	846	196
8	151	613	496	843	646
8	165	229	420	459	570
8	167	344	186	574	336
8	180	372	553	602	703
8	182	507	259	737	409
8	198	398	384	628	534
8	212	267	519	497	669
8	220	746	28	976	178
8	225	278	530	508	680
8	239	240	287	470	437
8	240	174	281	404	431
8	249	122	240	352	390
8	250	384	416	614	566
8	257	231	146	461	296
8	265	759	123	989	273
8	322	493	236	723	386
8	328	537	435	767	585
8	330	476	549	706	699
8	331	660	102	890	252
8	348	134	44	364	194
8	349	338	356	568	506
8	353	694	113	924	263
8	358	727	230	957	380
8	388	307	295	537	445
8	389	423	90	653	240
8	440	634	259	864	409
8	451	377	531	607	681
8	454	322	317	552	467
8	467	445	181	675	331
8	510	720	308	950	458
8	515	326	29	556	179
8	527	519	491	749	641
8	536	169	318	399	468
8	543	398	404	628	554
8	546	147	346	377	496
8	555	496	187	726	337
8	557	60	485	290	635
8	569	160	208	390	358
8	574	644	289	874	439
8	595	645	519	875	669
8	607	454	334	684	484
8	622	634	323	864	473
8	625	646	104	876	254
8	647	720	206	950	356
8	658	593	256	823	406
8	662	87	343	317	493
8	665	485	240	715	390
8	677	82	316	312	466
8	691	721	208	951	358
8	700	697	25	927	175
8	717	726	13	956	163
8	752	871	109	1101	259
8	762	31	526	261	676
8	767	502	255	732	405
8	768	631	263	861	413
8	769	596	89	826	239
8	792	80	142	310	292
8	793	327	209	557	359
8	796	712	496	942	646
8	811	444	472	674	622
8	813	38	279	268	429
8	814	563	285	793	435
8	840	285	92	515	242
8	853	128	191	358	341
8	910	1850	1562	2080	1712
8	941	367	128	597	278
8	952	335	250	565	400
8	958	426	481	656	631
8	978	357	491	587	641
8	979	341	414	571	564
8	992	185	485	415	635
8	998	210	308	440	458
8	1001	8	559	238	709
8	1002	733	832	963	982
8	1035	8	177	238	327
8	1058	176	291	406	441
8	1059	666	513	896	663
8	1060	102	502	332	652
8	1097	435	450	665	600
8	1126	294	326	524	476
8	1157	137	538	367	688
8	1171	671	276	901	426
8	1176	684	624	914	774
8	1177	802	76	1032	226
8	1205	659	41	889	191
8	1221	137	272	367	422
8	1229	513	450	743	600
8	1237	535	390	765	540
8	1293	416	96	646	246
8	1325	387	151	617	301
8	1330	651	444	881	594
8	1332	642	249	872	399
8	1334	326	406	556	556
8	1384	672	308	902	458
8	1390	707	11	937	161
8	1394	9	531	239	681
8	1405	324	345	554	495
8	1410	244	139	474	289
8	1414	225	14	455	164
8	1415	348	108	578	258
8	1417	487	455	717	605
8	1418	178	66	408	216
8	1438	610	545	840	695
8	1474	182	510	412	660
8	1478	767	235	997	385
8	1480	530	261	760	411
8	1482	4226	3451	4456	3601
8	1494	177	88	407	238
8	1497	406	326	636	476
8	1517	673	10	903	160
8	1534	1	470	231	620
8	1535	211	324	441	474
8	1551	281	205	511	355
8	1552	454	501	684	651
8	1555	358	186	588	336
8	1613	226	364	456	514
8	1619	258	443	488	593
8	1621	515	324	745	474
8	1635	578	85	808	235
8	1643	37	300	267	450
8	1646	509	242	739	392
8	1653	669	377	899	527
8	1655	510	324	740	474
8	1658	150	391	380	541
8	1662	129	376	359	526
8	1669	632	660	862	810
8	1683	273	721	503	871
8	1686	170	157	400	307
8	1796	412	201	642	351
8	1813	819	463	1049	613
8	1820	751	371	981	521
8	1836	513	269	743	419
8	1884	495	221	725	371
8	1904	638	320	868	470
8	1953	638	648	868	798
8	1954	326	578	556	728
8	1963	285	69	515	219
8	1970	764	64	994	214
8	1972	697	117	927	267
8	2036	498	229	728	379
8	2045	635	35	865	185
8	2059	209	469	439	619
8	2078	329	65	559	215
8	2090	352	349	582	499
8	2092	75945	232690	76175	232840
8	2100	84	573	314	723
8	2102	44130	48132	44360	48282
8	2105	410	89	640	239
8	2108	731	490	961	640
8	2111	856	361	1086	511
8	2115	760	11	990	161
8	2124	65	128	295	278
8	2150	193	258	423	408
8	2164	145	389	375	539
8	2170	797	391	1027	541
8	2189	298	285	528	435
8	2199	638	586	868	736
8	2208	231	501	461	651
8	2216	638	438	868	588
8	2217	175	241	405	391
8	2222	563	244	793	394
8	2230	616	348	846	498
8	2234	310	359	540	509
8	2241	300	339	530	489
8	2255	462	90	692	240
8	2260	226	283	456	433
8	2305	73	561	303	711
8	2321	751	290	981	440
8	2359	135	148	365	298
8	2366	32	89	262	239
8	2381	263	379	493	529
8	2386	30	427	260	577
8	2387	462	150	692	300
8	2389	303	492	533	642
8	2409	72	512	302	662
8	2420	555	278	785	428
8	2436	466	576	696	726
8	2450	179	746	409	896
8	2452	18	514	248	664
8	2481	318	301	548	451
8	2488	497	62	727	212
8	2491	835	570	1065	720
8	2504	588	5	818	155
8	2512	758	444	988	594
8	2528	430	253	660	403
8	2529	600	153	830	303
8	2535	459	245	689	395
8	2536	57	624	287	774
