TargetImg	XMin	YMin	XMax	YMax	
44	11	742	201	865	367
44	46	743	201	910	356
44	165	739	198	1002	317
44	173	740	197	1031	360
47	7	72	339	293	478
47	9	126	354	361	504
47	46	108	130	275	285
47	165	584	257	847	376
48	7	435	164	656	303
48	198	401	360	686	489
48	211	407	359	525	493
48	213	406	356	542	511
49	7	137	56	358	195
49	8	7	500	237	650
49	9	136	56	371	206
49	11	62	363	185	529
49	46	54	363	221	518
49	48	54	363	221	516
49	59	47	500	211	681
49	115	99	550	285	655
49	163	14	839	270	966
49	165	640	269	903	388
49	174	8	500	291	660
49	193	781	463	912	605
49	196	137	99	429	222
49	198	153	30	438	159
49	205	9	500	137	632
49	211	416	240	534	374
49	212	399	297	532	446
49	213	374	230	510	385
49	276	566	50	709	214
49	280	9	500	117	607
49	291	8	500	188	628
49	292	9	500	198	638
50	7	706	77	927	216
50	46	745	21	912	176
50	48	744	23	911	176
50	196	364	521	656	644
51	48	1271	2668	1438	2821
51	96	137	16	233	151
52	7	661	159	882	298
52	48	472	132	639	285
52	165	216	334	479	453
53	48	390	182	557	335
53	174	116	346	399	506
53	211	299	406	417	540
53	212	107	499	240	648
54	211	103	404	221	538
55	110	272	364	446	465
55	163	643	295	899	422
55	174	557	269	840	429
55	211	167	70	285	204
55	212	166	71	299	220
55	213	23	442	159	597
56	7	735	54	956	193
56	8	68	378	298	528
56	9	37	487	272	637
56	11	735	53	858	219
56	46	735	54	902	209
56	47	683	147	858	307
56	48	683	148	850	301
56	49	750	40	947	191
56	50	809	544	983	674
56	144	161	122	291	260
56	163	737	50	993	177
56	164	50	399	316	521
56	165	752	102	1015	221
56	173	735	54	1026	217
56	174	683	147	966	307
56	197	49	400	312	525
56	211	560	157	678	291
56	213	526	157	662	312
56	281	733	56	842	170
56	287	140	230	258	352
57	7	631	406	852	545
57	9	135	210	370	360
57	11	136	141	259	307
57	46	141	134	308	289
57	47	631	406	806	566
57	48	1208	600	1375	753
57	62	631	406	795	556
57	64	432	41	528	153
57	110	140	133	314	234
57	111	671	404	871	516
57	119	833	325	964	471
57	163	632	406	888	533
57	164	261	31373	527	31495
57	165	615	433	878	552
57	172	631	406	887	548
57	173	646	406	937	569
57	174	382	271	665	431
57	196	140	137	432	260
57	211	444	422	562	556
57	212	762	43	895	192
57	213	757	5	893	160
57	281	139	400	248	514
58	46	156	440	323	595
58	48	1650	534	1817	687
58	64	555	185	651	297
58	117	592	84	783	190
58	163	585	412	841	539
58	164	531	413	797	535
58	165	545	423	808	542
58	193	1508	713	1639	855
58	196	78	428	370	551
58	291	527	425	707	553
58	292	338	186	527	324
60	211	623	249	741	383
60	212	623	249	756	398
60	213	644	248	780	403
61	7	739	269	960	408
61	64	266	388	362	500
61	66	244	408	338	517
61	163	82	270	338	397
61	165	139	133	402	252
62	211	225	541	343	675
63	7	59	507	280	646
63	11	48	214	171	380
63	15	15	545	111	696
63	46	101	522	268	677
63	47	59	508	234	668
63	48	14	494	181	647
63	49	542	285	739	436
63	62	239	306	403	456
63	66	540	302	634	411
63	119	187	533	318	679
63	142	295	536	418	667
63	143	61	516	192	653
63	144	101	1076	231	1214
63	163	303	528	559	655
63	164	59	508	325	630
63	165	302	528	565	647
63	172	201	693	457	835
63	173	44	504	335	667
63	174	84	465	367	625
63	196	61	491	353	614
63	198	58	507	343	636
63	282	382	536	499	653
63	291	59	508	239	636
63	292	302	528	491	666
65	66	83	258	177	367
65	163	58	99	314	226
65	165	443	267	706	386
65	211	596	260	714	394
65	213	577	274	713	429
65	292	56	100	245	238
66	11	392	207	515	373
66	142	422	208	545	339
66	163	455	210	711	337
66	164	362	387	628	509
66	165	462	212	725	331
66	172	392	207	648	349
66	174	396	209	679	369
66	193	189	162	320	304
66	282	462	212	579	329
66	292	466	212	655	350
67	163	370	396	626	523
67	164	499	352	765	474
67	165	477	359	740	478
67	291	556	47	736	175
67	292	551	46	740	184
68	48	839	132	1006	285
69	163	4907	6351	5163	6478
69	164	481	183	747	305
69	165	120	98	383	217
69	292	744	552	933	690
70	163	37	222	293	349
70	164	1061	362	1327	484
70	165	0	187	263	306
70	193	526	285	657	427
70	195	7478	14925	7614	15073
70	282	1276	32	1393	149
70	291	36	221	216	349
70	292	19	224	208	362
71	46	238	279	405	434
71	47	714	354	889	514
72	11	2224	290	2347	456
72	49	738	114	935	265
72	64	296	88	392	200
72	66	14	264	108	373
72	115	214	82	400	187
72	165	87	396	350	515
72	173	158	248	449	411
72	196	67	472	359	595
72	291	92	399	272	527
72	292	186	90	375	228
73	46	422	377	589	532
73	47	475	447	650	607
73	115	575	311	761	416
73	143	454	470	585	607
73	163	574	320	830	447
73	164	454	470	720	592
73	165	710	14	973	133
73	280	515	309	623	416
73	281	206	153	315	267
73	291	574	320	754	448
73	292	454	470	643	608
74	163	460	222	716	349
74	164	461	220	727	342
74	165	465	328	728	447
78	163	139	97	395	224
78	164	154	86	420	208
78	165	22	39	285	158
78	292	183	83	372	221
79	7	666	553	887	692
79	9	666	553	901	703
79	11	666	553	789	719
79	22	446	139	632	260
79	46	666	553	833	708
79	47	666	553	841	713
79	48	666	553	833	706
79	55	362	561	475	711
79	57	483	450	595	600
79	111	179	439	379	551
79	115	457	90	643	195
79	119	770	574	901	720
79	142	448	108	571	239
79	143	454	154	585	291
79	163	487	471	743	598
79	164	666	553	932	675
79	165	530	578	793	697
79	172	666	553	922	695
79	173	676	547	967	710
79	174	269	352	552	512
79	196	450	99	742	222
79	197	450	134	713	259
79	198	438	100	723	229
79	199	209	459	336	588
79	201	519	506	643	631
79	271	472	81	621	228
79	273	603	778	753	937
79	281	469	432	578	546
79	292	666	554	855	692
80	66	199	725	293	834
80	143	45	374	176	511
80	197	22	377	285	502
81	64	1543	687	1639	799
81	66	660	450	754	559
81	196	163	404	455	527
81	198	329	448	614	577
84	7	258	300	479	439
84	48	617	432	784	585
84	165	259	297	522	416
84	196	140	403	432	526
85	7	243	213	464	352
85	8	235	146	465	296
85	9	259	150	494	300
85	115	243	156	429	261
85	196	269	190	561	313
85	211	194	406	312	540
85	212	203	371	336	520
85	213	264	302	400	457
86	211	209	232	327	366
86	212	178	255	311	404
86	213	180	255	316	410
87	12	419	333	543	504
87	46	63	37	230	192
87	48	291	350	458	503
87	163	211	342	467	469
87	164	453	332	719	454
87	165	126	209	389	328
87	292	124	208	313	346
90	48	391	221	558	374
91	47	719	593	894	753
91	66	243	259	337	368
91	163	267	212	523	339
91	164	374	282	640	404
91	165	801	585	1064	704
91	292	700	544	889	682
92	2	644	248	751	425
92	7	661	244	882	383
92	11	661	244	784	410
92	12	679	211	803	382
92	15	682	248	778	399
92	46	659	247	826	402
92	47	903	141	1078	301
92	48	661	244	828	397
92	55	141	442	254	592
92	62	899	328	1063	478
92	119	655	437	786	583
92	137	657	243	773	366
92	142	172	427	295	558
92	143	153	133	284	270
92	144	152	155	282	293
92	163	661	244	917	371
92	164	153	133	419	255
92	165	661	244	924	363
92	172	660	244	916	386
92	173	139	464	430	627
92	174	711	280	994	440
92	196	142	439	434	562
92	197	369	598	632	723
92	198	153	436	438	565
92	276	108305	133840	108448	134004
92	281	141	439	250	553
92	283	153	133	286	226
92	291	143	130	323	258
92	292	153	133	342	271
93	143	733	262	864	399
93	163	818	303	1074	430
93	164	712	265	978	387
93	165	600	222	863	341
93	193	1523	482	1654	624
93	195	564	485	700	633
93	291	563	225	743	353
93	292	820	285	1009	423
94	64	579	541	675	653
94	66	876	2897	970	3006
94	115	533	243	719	348
94	117	569	195	760	301
94	143	132	199	263	336
94	163	555	230	811	357
94	164	555	230	821	352
94	165	555	230	818	349
94	291	344	487	524	615
94	292	555	230	744	368
95	64	724	274	820	386
95	66	187	380	281	489
95	109	200	528	371	628
95	110	284	561	458	662
97	212	424	444	557	593
97	213	695	421	831	576
98	46	532	131	699	286
98	47	488	149	663	309
98	48	563	107	730	260
98	110	542	161	716	262
101	87	432	303	565	416
101	142	36	26	159	157
101	143	117	103	248	240
101	163	148	178	404	305
101	164	35	23	301	145
101	165	60	113	323	232
101	172	29	676	285	818
101	292	32	22	221	160
102	7	647	322	868	461
102	11	266	593	389	759
102	22	313	608	499	729
102	46	646	320	813	475
102	48	646	320	813	473
102	59	766	765	930	946
102	110	646	319	820	420
102	111	646	320	846	432
102	174	470	623	753	783
102	196	646	321	938	444
102	198	330	563	615	692
102	292	449	739	638	877
103	47	18199	2241	18374	2401
105	11	81	444	204	610
105	46	544	306	711	461
105	62	646	2	810	152
105	119	16	546	147	692
105	152	450	378	586	522
105	196	74	446	366	569
106	111	816	551	1016	663
106	212	360	433	493	582
106	213	383	434	519	589
107	9	116	432	351	582
107	11	655	146	778	312
107	15	115	431	211	582
107	46	111	413	278	568
107	119	42	48	173	194
107	163	63	453	319	580
107	172	116	431	372	573
107	173	116	432	407	595
107	174	201	531	484	691
107	196	127	68	419	191
107	291	128	71	308	199
107	292	128	71	317	209
108	46	437	81	604	236
108	201	237	506	361	631
109	7	175	133	396	272
109	9	1292	33	1527	183
109	11	417	2746	540	2912
109	12	173	133	297	304
109	46	677	34	844	189
109	47	175	133	350	293
109	48	175	133	342	286
109	49	679	35	876	186
109	50	708	539	882	669
109	62	218	103	382	253
109	115	822	213	1008	318
109	118	701	54	824	192
109	119	172	137	303	283
109	144	161	178	291	316
109	163	754	178	1010	305
109	164	185	128	451	250
109	165	3399	486	3662	605
109	172	136	174	392	316
109	173	678	34	969	197
109	174	175	133	458	293
109	196	171	134	463	257
109	197	18	100	281	225
109	198	96	280	381	409
109	201	678	34	802	159
109	280	95	279	203	386
109	281	652	27	761	141
109	291	174	133	354	261
109	292	653	23	842	161
110	7	162	205	383	344
110	9	202	439	437	589
110	165	169	146	432	265
111	51	288	105	479	247
111	57	756	272	868	422
111	163	785	192	1041	319
111	292	725	271	914	409
112	7	602	280	823	419
112	9	520	211	755	361
112	11	343	425	466	591
112	46	313	481	480	636
112	47	602	280	777	440
112	48	604	278	771	431
112	51	495	542	686	684
112	55	11	520	124	670
112	56	6	523	121	677
112	57	38	532	150	682
112	118	541	275	664	413
112	163	1157	124	1413	251
112	165	846	77	1109	196
112	172	602	280	858	422
112	196	603	279	895	402
112	197	299	439	562	564
112	198	288	343	573	472
112	291	499	222	679	350
113	163	254	197	510	324
113	174	169	178	452	338
114	9	583	31	818	181
114	48	589	535	756	688
114	115	26589	24916	26775	25021
114	163	564	42	820	169
114	164	595	330	861	452
114	165	563	41	826	160
114	196	570	40	862	163
114	198	562	42	847	171
114	211	445	259	563	393
114	212	445	259	578	408
114	213	422	257	558	412
114	280	602	445	710	552
114	281	568	36	677	150
114	291	539	235	719	363
114	292	94	218	283	356
115	46	243	77	410	232
115	165	384	522	647	641
115	174	362	495	645	655
115	196	241	75	533	198
115	211	398	65	516	199
115	212	347	165	480	314
115	213	1905	5354	2041	5509
116	7	347	307	568	446
116	8	123	231	353	381
116	9	313	414	548	564
116	11	173	738	296	904
116	46	680	87	847	242
116	47	314	485	489	645
116	48	314	485	481	638
116	110	301	537	475	638
116	111	551	793	751	905
116	115	707	473	893	578
116	143	707	437	838	574
116	163	619	53	875	180
116	164	620	53	886	175
116	165	705	473	968	592
116	173	314	485	605	648
116	174	250	516	533	676
116	179	618	43	677	226
116	196	314	485	606	608
116	215	306	559	482	736
116	247	704	422	797	568
116	280	82	389	190	496
116	281	707	473	816	587
116	291	707	473	887	601
116	292	707	473	896	611
117	7	316	126	537	265
117	8	1474	459	1704	609
117	9	721	222	956	372
117	56	833	214	948	368
117	96	612	136	708	271
117	115	504	146	690	251
117	163	725	210	981	337
117	196	790	202	1082	325
118	7	559	233	780	372
118	8	190	586	420	736
118	46	268	393	435	548
118	47	515	417	690	577
118	143	542	399	673	536
118	163	535	408	791	535
118	164	10937	565	11203	687
118	165	513	413	776	532
118	193	555	414	686	556
118	196	250	397	542	520
118	198	336	378	621	507
118	291	513	413	693	541
118	292	542	399	731	537
119	144	552	121	682	259
120	57	472	467	584	617
121	8	616	46	846	196
121	9	730	296	965	446
121	55	733	268	846	418
121	56	735	270	850	424
121	57	750	281	862	431
121	58	744	353	902	531
121	163	278	522	534	649
121	165	472	89	735	208
121	174	702	263	985	423
121	193	1040	433	1171	575
121	198	746	278	1031	407
121	212	1043	861	1176	1010
121	213	142	58	278	213
121	281	747	280	856	394
121	291	245	253	425	381
121	292	802	406	991	544
122	48	46	812	213	965
122	163	248	3	504	130
122	281	256	621	365	735
123	115	805	494	991	599
123	116	576	390	759	488
123	117	552	315	743	421
123	138	612	513	722	628
123	163	589	315	845	442
123	164	227	414	493	536
123	165	517	313	780	432
123	195	427	345	563	493
123	198	519	315	804	444
123	205	587	311	715	443
123	280	713	296	821	403
123	281	593	317	702	431
123	282	568	305	685	422
123	291	518	315	698	443
123	292	773	429	962	567
123	294	588	317	741	432
124	7	585	275	806	414
124	46	607	254	774	409
124	115	367	40	553	145
124	138	713	149	823	264
124	143	683	185	814	322
124	163	1527	1449	1783	1576
124	164	0	286	266	408
124	165	660	181	923	300
124	193	576	134	707	276
124	194	143	437	285	589
124	195	998	1688	1134	1836
124	292	775	130	964	268
125	7	465	232	686	371
125	9	91	59	326	209
125	46	107	73	274	228
125	47	398	211	573	371
125	48	399	211	566	364
125	161	238	133	321	322
125	173	457	77	748	240
125	198	439	176	724	305
125	292	505	136	694	274
126	47	751	278	926	438
126	48	925	79	1092	232
126	51	750	279	941	421
126	163	1029	493	1285	620
126	211	103	42	221	176
127	163	151	30	407	157
127	164	145	30	411	152
127	165	160	34	423	153
128	11	485	139	608	305
128	46	522	250	689	405
128	47	634	534	809	694
128	48	525	251	692	404
128	55	765	474	878	624
128	57	594	472	706	622
128	143	560	262	691	399
128	163	525	251	781	378
128	165	473	234	736	353
128	174	525	251	808	411
128	292	576	422	765	560
129	163	234	423	490	550
129	196	573	205	865	328
129	198	600	190	885	319
130	11	381	543	504	709
130	46	736	1	903	156
130	47	446	517	621	677
130	48	440	515	607	668
130	172	306	585	562	727
130	196	440	515	732	638
130	198	255	221	540	350
131	46	581	550	748	705
131	47	583	553	758	713
131	48	583	548	750	701
131	164	439	3144	705	3266
131	165	756	166	1019	285
131	172	578	552	834	694
131	196	583	548	875	671
132	48	69	95	236	248
132	142	181	13	304	144
132	163	9	113	265	240
132	164	8	113	274	235
132	165	81	19	344	138
132	174	915	84	1198	244
132	196	5	111	297	234
132	283	809	438	942	531
132	292	390	416	579	554
133	11	577	506	700	672
133	15	565	502	661	653
133	46	565	502	732	657
133	47	574	502	749	662
133	48	565	502	732	655
133	62	243	1812	407	1962
133	141	91	521	231	644
133	143	718	178	849	315
133	163	234	541	490	668
133	164	129	3	395	125
133	165	237	541	500	660
133	174	599	498	882	658
133	196	312	640	604	763
133	291	565	502	745	630
133	292	237	542	426	680
134	142	270	291	393	422
134	163	237	306	493	433
134	164	214	291	480	413
134	165	168	359	431	478
134	196	822	602	1114	725
134	212	382	415	515	564
134	213	253	293	389	448
134	292	758	472	947	610
135	48	246	278	413	431
135	66	502	184	596	293
136	7	180	527	401	666
136	9	180	527	415	677
136	46	140	489	307	644
136	47	33	301	208	461
136	196	359	562	651	685
136	198	731	591	1016	720
136	211	226	147	344	281
136	213	129	40	265	195
137	48	739	236	906	389
137	55	366	502	479	652
137	163	566	48	822	175
137	172	565	40	821	182
137	174	569	52	852	212
137	198	358	468	643	597
138	7	223	233	444	372
138	172	628	211	884	353
139	172	729	103	985	245
139	174	633	177	916	337
139	196	472	242	764	365
139	198	503	523	788	652
140	7	519	343	740	482
140	9	523	317	758	467
140	48	597	76	764	229
140	55	229	178	342	328
140	163	91	41	347	168
140	165	260	29	523	148
140	172	1254	1176	1510	1318
140	173	655	481	946	644
140	196	70	4	362	127
140	198	643	361	928	490
140	271	253	79	402	226
141	211	19	452	137	586
141	212	4	451	137	600
141	213	376	175	512	330
142	110	883	446	1057	547
142	162	114	274	197	454
142	291	642	170	822	298
142	292	700	557	889	695
143	7	730	216	951	355
143	11	757	112	880	278
143	46	679	667	846	822
143	173	729	217	1020	380
143	281	781	256	890	370
144	57	2334	1370	2446	1520
145	7	280	209	501	348
145	9	230	268	465	418
145	64	88	80	184	192
145	66	522	295	616	404
145	163	196	771	452	898
145	211	512	217	630	351
145	212	503	211	636	360
145	213	512	217	648	372
146	66	41	199	135	308
146	163	178	71	434	198
146	164	307	434	573	556
146	165	165	100	428	219
146	292	167	100	356	238
147	7	16	192	237	331
147	11	704	311	827	477
147	46	193	531	360	686
147	48	182	81	349	234
147	56	131	243	246	397
147	57	724	38	836	188
147	64	133	235	229	347
147	66	460	511	554	620
147	115	82	326	268	431
147	137	680	9	796	132
147	163	644	87	900	214
147	164	94	240	360	362
147	165	646	87	909	206
147	174	647	86	930	246
147	193	644	87	775	229
147	194	606	518	748	670
147	280	26	179	134	286
147	281	644	73	753	187
147	291	132	243	312	371
147	292	644	88	833	226
148	7	722	277	943	416
148	11	41	49	164	215
148	25	427	333	576	496
148	51	326	360	517	502
148	52	376	345	466	483
148	53	245	448	334	584
148	55	338	367	451	517
148	57	404	476	516	626
148	110	343	94	517	195
148	111	235	417	435	529
148	119	370	224	501	370
148	143	337	365	468	502
148	163	142	143	398	270
148	165	167	169	430	288
148	187	452	340	580	532
148	201	620	530	744	655
148	211	194	415	312	549
148	289	8195	1703	8343	1804
148	290	247	419	393	514
149	48	134	357	301	510
149	196	86	393	378	516
150	7	242	564	463	703
150	11	139	376	262	542
150	46	596	276	763	431
150	47	10	169	185	329
150	48	596	276	763	429
150	55	452	249	565	399
150	56	465	495	580	649
150	57	348	515	460	665
150	163	1546	247	1802	374
150	164	653	265	919	387
150	165	53	382	316	501
150	196	596	276	888	399
150	197	546	250	809	375
150	198	372	505	657	634
150	201	412	523	536	648
150	292	491	299	680	437
151	8	613	496	843	646
151	9	18	389	253	539
151	46	467	178	634	333
151	47	476	202	651	362
151	48	479	199	646	352
151	51	466	192	657	334
151	110	66	341	240	442
151	143	430	181	561	318
151	163	420	388	676	515
151	164	473	171	739	293
151	165	420	388	683	507
151	196	20	389	312	512
151	198	9	170	294	299
151	291	433	442	613	570
151	292	675	284	864	422
152	46	619	37	786	192
152	143	33	69	164	206
152	163	33	69	289	196
152	164	463	164	729	286
152	165	669	222	932	341
152	281	701	506	810	620
153	46	172	498	339	653
153	47	174	491	349	651
153	48	651	180	818	333
153	163	90	489	346	616
153	164	170	484	436	606
153	165	597	297	860	416
153	211	600	371	718	505
153	253	755	419	925	532
153	292	521	523	710	661
154	47	88	471	263	631
154	211	6716	7494	6834	7628
155	198	700	350	985	479
156	7	326	86	547	225
156	115	197	42	383	147
156	137	198	41	314	164
156	138	242	48	352	163
156	143	205	44	336	181
156	163	198	41	454	168
156	164	96	25	362	147
156	165	198	40	461	159
156	193	198	41	329	183
156	194	166	44	308	196
156	195	196	41	332	189
156	205	133	143	261	275
156	280	194	38	302	145
156	282	198	41	315	158
156	291	229	3	409	131
156	292	198	41	387	179
157	7	4751	1277	4972	1416
157	46	269	498	436	653
157	47	205	938	380	1098
157	48	382	232	549	385
157	58	636	194	794	372
157	59	211	277	375	458
157	64	639	270	735	382
157	66	124	335	218	444
157	115	18	360	204	465
157	117	375	366	566	472
157	137	212	277	328	400
157	138	283	699	393	814
157	143	208	277	339	414
157	163	211	278	467	405
157	164	440	288	706	410
157	165	280	183	543	302
157	173	212	259	503	422
157	193	233	271	364	413
157	194	207	278	349	430
157	195	233	285	369	433
157	282	41	809	158	926
157	283	221	283	354	376
157	284	234	261	379	366
157	291	213	276	393	404
157	292	212	277	401	415
158	7	119	436	340	575
158	9	671	557	906	707
158	48	50	606	217	759
158	51	5734	409	5925	551
158	87	48	378	181	491
158	165	94	154	357	273
159	47	1329	920	1504	1080
159	48	372	247	539	400
159	59	452	445	616	626
159	172	788	34	1044	176
159	196	363	316	655	439
160	64	624	25	720	137
160	66	684	31	778	140
161	47	334	511	509	671
162	47	508	431	683	591
162	48	346	154	513	307
162	55	143	337	256	487
162	56	647	6	762	160
162	57	192	194	304	344
162	59	929	704	1093	885
162	64	353	159	449	271
162	86	127	74	258	174
162	109	736	566	907	666
162	110	725	560	899	661
162	115	368	178	554	283
162	117	641	376	832	482
162	136	580	42	678	145
162	138	303	995	413	1110
162	142	388	154	511	285
162	143	381	157	512	294
162	163	390	141	646	268
162	164	258	247	524	369
162	165	393	153	656	272
162	172	363	144	619	286
162	173	399	135	690	298
162	174	392	153	675	313
162	193	1445	1316	1576	1458
162	194	823	565	965	717
162	195	627	184	763	332
162	196	353	159	645	282
162	205	356	171	484	303
162	280	392	153	500	260
162	282	1498	757	1615	874
162	283	81	191	214	284
162	284	377	25	522	130
162	291	393	153	573	281
162	292	391	153	580	291
163	7	22	282	243	421
163	44	696	175	889	238
163	57	158	179	270	329
163	64	23	282	119	394
163	66	22	283	116	392
163	110	610	398	784	499
163	111	383	341	583	453
163	115	706	106	892	211
163	117	589	209	780	315
163	137	409	240	525	363
163	138	604	228	714	343
163	142	559	212	682	343
163	143	22	282	153	419
163	163	726	230	982	357
163	165	464	287	727	406
163	173	586	209	877	372
163	174	1784	432	2067	592
163	193	63	281	194	423
163	194	489	221	631	373
163	195	567	211	703	359
163	205	632	203	760	335
163	280	563	212	671	319
163	281	132	169	241	283
163	282	653	221	770	338
163	291	564	212	744	340
163	292	564	212	753	350
165	7	229	420	450	559
165	8	229	420	459	570
165	9	229	420	464	570
165	11	229	420	352	586
165	46	385	196	552	351
165	47	394	405	569	565
165	48	239	387	406	540
165	51	223	388	414	530
165	59	649	510	813	691
165	61	359	459	529	630
165	62	314	454	478	604
165	87	331	290	464	403
165	104	474	1032	581	1189
165	118	229	419	352	557
165	119	229	419	360	565
165	144	466	92	596	230
165	163	229	420	485	547
165	164	229	420	495	542
165	165	229	419	492	538
165	172	229	420	485	562
165	173	228	419	519	582
165	174	479	31	762	191
165	196	55	381	347	504
165	197	312	454	575	579
165	198	55	381	340	510
165	283	541	484	674	577
165	287	338	452	456	574
165	292	539	482	728	620
166	11	183	326	306	492
166	48	25	475	192	628
166	165	326	175	589	294
166	172	430	239	686	381
166	174	421	245	704	405
167	8	344	186	574	336
167	9	211	340	446	490
167	56	261	361	376	515
167	57	362	529	474	679
167	115	296	365	482	470
167	163	558	530	814	657
167	196	186	366	478	489
167	198	219	317	504	446
167	280	217	854	325	961
167	281	1116	669	1225	783
168	7	433	415	654	554
168	11	957	360	1080	526
168	66	119	582	213	691
168	143	358	534	489	671
168	163	402	419	658	546
168	165	105	188	368	307
168	196	444	435	736	558
168	198	91	170	376	299
168	280	433	414	541	521
168	281	433	415	542	529
168	282	74	173	191	290
168	292	425	415	614	553
169	9	321	140	556	290
169	46	196	383	363	538
169	47	1277	453	1452	613
169	163	167	396	423	523
169	172	185	423	441	565
169	174	119	384	402	544
169	196	146	392	438	515
169	198	120	384	405	513
170	15	272	405	368	556
170	46	595	277	762	432
170	47	627	252	802	412
170	48	448	383	615	536
170	62	351	218	515	368
170	119	661	372	792	518
170	163	937	300	1193	427
170	165	589	281	852	400
170	172	186	317	442	459
170	174	571	257	854	417
170	196	616	287	908	410
171	165	71	116	334	235
172	7	741	231	962	370
172	9	258	328	493	478
172	46	160	320	327	475
172	60	52	530	217	716
172	66	328	351	422	460
174	66	181	688	275	797
174	115	617	162	803	267
174	196	98	234	390	357
174	198	229	81	514	210
175	9	320	526	555	676
175	46	375	103	542	258
175	47	313	111	488	271
175	48	272	115	439	268
175	55	320	523	433	673
176	7	51	296	272	435
176	22	216	146	402	267
176	24	2041	690	2224	810
176	46	51	296	218	451
176	47	61	311	236	471
176	48	84	427	251	580
176	57	254	531	366	681
176	87	50	295	183	408
176	119	51	296	182	442
176	143	327	424	458	561
176	163	51	296	307	423
176	164	328	424	594	546
176	165	51	296	314	415
176	174	39	294	322	454
176	196	4	174	296	297
176	198	267	533	552	662
176	274	357	186	502	353
176	291	60	296	240	424
177	55	586	162	699	312
177	57	587	159	699	309
177	163	670	496	926	623
177	165	69	19	332	138
177	196	635	489	927	612
177	198	628	479	913	608
